name,triangles,faces,vertices,edges
452-L,1012645,1012645,3037935,3037935
452-R,1066498,1066498,3199494,3199494
454-L,993502,993502,2980506,2980506
454-R,986138,986138,2958414,2958414
456-L,738549,738549,2215647,2215647
456-R,813806,813806,2441418,2441418
457-R,918328,918328,2754984,2754984
458-L,1551938,1551938,4655814,4655814
458-R,1407427,1407427,4222281,4222281
459-L,1020691,1020691,3062073,3062073
459-R,997996,997996,2993988,2993988
46-L,1291245,1291245,3873735,3873735
46-R,1260305,1260305,3780915,3780915
460-L,1128161,1128161,3384483,3384483
460-R,993692,993692,2981076,2981076
461-L,910812,910812,2732436,2732436
461-R,926937,926937,2780811,2780811
462-L,846089,846089,2538267,2538267
462-R,931123,931123,2793369,2793369
463-L,784812,784812,2354436,2354436
463-R,973065,973065,2919195,2919195
464-L,953933,953933,2861799,2861799
464-R,969897,969897,2909691,2909691
465-L,1099142,1099142,3297426,3297426
465-R,1107150,1107150,3321450,3321450
466-R,801937,801937,2405811,2405811
467-L,1072705,1072705,3218115,3218115
467-R,1087931,1087931,3263793,3263793
468-L,875924,875924,2627772,2627772
468-R,932882,932882,2798646,2798646
469-L,777036,777036,2331108,2331108
469-R,980028,980028,2940084,2940084
47-L,767988,767988,2303964,2303964
47-R,970148,970148,2910444,2910444
470-L,925097,925097,2775291,2775291
470-R,1098104,1098104,3294312,3294312
471-L,862088,862088,2586264,2586264
471-R,930535,930535,2791605,2791605
472-L,727108,727108,2181324,2181324
472-R,584580,584580,1753740,1753740
473-L,1041869,1041869,3125607,3125607
473-R,910826,910826,2732478,2732478
474-L,1315060,1315060,3945180,3945180
474-R,1408632,1408632,4225896,4225896
475-R,797198,797198,2391594,2391594
476-L,734340,734340,2203020,2203020
476-R,1068585,1068585,3205755,3205755
477-L,980710,980710,2942130,2942130
477-R,820294,820294,2460882,2460882
478-L,802904,802904,2408712,2408712
478-R,657260,657260,1971780,1971780
479-L,1126035,1126035,3378105,3378105
479-R,998981,998981,2996943,2996943
48-L,856150,856150,2568450,2568450
48-R,804547,804547,2413641,2413641
480-L,946511,946511,2839533,2839533
480-R,941732,941732,2825196,2825196
481-L,899474,899474,2698422,2698422
481-R,940815,940815,2822445,2822445
483-L,1088904,1088904,3266712,3266712
483-R,995761,995761,2987283,2987283
484-L,1005039,1005039,3015117,3015117
484-R,1030737,1030737,3092211,3092211
